day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions
1,2018,02,26,2018-02-26,42.1,40.1,1016.7,6.5,10.7,15.0,999.9,46.9,39.0,0.72,999.9,1,557
7,2018,08,12,2018-08-12,70.9,69.7,1017.6,7.8,7.3,11.1,999.9,75.9,64.0,0.01,999.9,0,499
1,2018,01,22,2018-01-22,36.4,35.9,1023.6,7.6,4.0,11.1,999.9,48.9,27.0,0.0,999.9,0,559
3,2018,06,06,2018-06-06,54.8,50.8,1008.9,9.7,9.6,15.0,999.9,61.0,50.0,0.0,999.9,0,651
5,2018,04,27,2018-04-27,48.8,46.9,1011.9,7.8,9.2,22.0,999.9,55.9,39.9,0.03,999.9,1,690
6,2018,12,01,2018-12-01,38.3,31.9,1020.3,9.9,5.7,8.9,999.9,44.1,33.1,0.0,999.9,0,601
3,2018,03,28,2018-03-28,40.4,32.9,1018.5,10.0,10.1,14.0,999.9,48.0,30.9,0.0,999.9,0,629
7,2018,09,30,2018-09-30,61.0,53.5,1025.6,9.7,4.7,8.9,999.9,72.0,51.1,0.0,999.9,1,510
5,2018,06,15,2018-06-15,59.0,54.0,1011.3,9.3,6.2,12.0,999.9,71.1,54.0,0.0,999.9,0,728
4,2018,02,15,2018-02-15,40.8,40.8,1013.7,2.2,9.7,15.0,999.9,44.1,30.9,0.35,999.9,1,645
6,2018,02,10,2018-02-10,41.6,39.0,1028.8,9.0,11.3,15.0,999.9,48.0,21.9,0.0,999.9,0,549
7,2018,01,21,2018-01-21,39.7,31.7,1018.2,10.0,7.2,12.0,999.9,48.9,28.0,0.0,999.9,0,418
1,2018,07,30,2018-07-30,71.3,66.7,1020.4,9.9,5.8,8.0,999.9,80.1,64.9,0.0,999.9,0,580
5,2018,08,10,2018-08-10,76.9,68.4,1010.2,9.6,6.4,9.9,999.9,86.0,68.0,0.04,999.9,0,707
1,2018,12,10,2018-12-10,35.5,23.8,1018.4,10.0,10.1,18.1,999.9,43.0,25.0,0.0,999.9,0,651
6,2018,07,14,2018-07-14,64.9,59.5,1021.4,10.0,4.7,9.9,999.9,73.9,54.0,0.0,999.9,0,577
4,2018,03,01,2018-03-01,46.7,41.0,1011.2,10.0,8.5,14.0,999.9,60.1,39.0,0.0,999.9,0,619
4,2018,01,11,2018-01-11,38.5,38.0,1030.1,10.0,8.6,12.0,999.9,45.0,21.9,0.0,999.9,0,696
2,2017,08,15,2017-08-15,67.8,66.8,1014.6,4.3,4.0,8.9,999.9,79.0,61.0,0.0,999.9,1,577
6,2017,09,16,2017-09-16,66.8,65.5,1020.8,4.6,2.8,8.0,999.9,75.9,61.0,0.0,999.9,1,623
1,2017,09,25,2017-09-25,64.2,63.7,1017.8,2.8,4.2,8.0,999.9,73.0,59.0,0.0,999.9,1,726
3,2017,09,27,2017-09-27,68.7,68.6,1014.0,1.5,4.7,9.9,999.9,77.0,62.1,0.0,999.9,1,696
4,2017,07,20,2017-07-20,74.7,70.6,1013.9,5.3,7.7,12.0,999.9,84.9,66.9,0.0,999.9,1,774
1,2017,10,23,2017-10-23,59.5,58.7,1026.8,6.5,7.2,12.0,999.9,68.0,52.0,0.0,999.9,1,669
3,2017,08,09,2017-08-09,67.1,63.5,1021.1,8.2,6.5,11.1,999.9,75.0,59.0,0.81,999.9,1,655
1,2017,12,04,2017-12-04,40.9,35.1,1028.5,10.0,7.7,13.0,999.9,48.9,33.1,0.0,999.9,0,684
2,2017,01,10,2017-01-10,35.6,26.3,1037.4,10.0,13.6,20.0,999.9,42.1,15.1,0.0,999.9,0,597
5,2017,12,22,2017-12-22,32.7,24.3,1026.3,9.7,6.7,15.0,999.9,41.0,24.1,0.0,999.9,0,720
6,2017,11,25,2017-11-25,50.1,47.2,1010.6,10.0,7.8,9.9,999.9,55.9,34.0,0.0,999.9,0,456
2,2017,05,09,2017-05-09,48.3,34.9,1014.8,10.0,6.2,8.9,999.9,55.0,39.9,0.0,999.9,0,651
6,2017,02,18,2017-02-18,37.0,26.6,1008.7,9.8,10.4,17.1,999.9,46.9,24.1,0.0,999.9,0,570
5,2017,08,25,2017-08-25,66.4,60.0,1016.2,10.0,5.5,13.0,999.9,79.0,57.9,0.0,999.9,0,633
3,2017,10,04,2017-10-04,59.3,56.1,1029.6,10.0,12.4,19.0,999.9,66.0,46.0,0.0,999.9,0,711
4,2017,06,29,2017-06-29,65.6,62.6,1020.7,9.9,11.5,15.0,999.9,71.1,59.0,0.0,999.9,0,767
4,2017,08,24,2017-08-24,70.0,60.2,1011.9,10.0,5.6,11.1,999.9,79.0,63.0,0.0,999.9,0,631
3,2017,07,12,2017-07-12,70.8,70.2,1015.2,1.8,7.3,11.1,999.9,77.0,64.9,0.0,999.9,1,677
2,2017,08,22,2017-08-22,70.5,69.8,1017.4,6.4,10.6,15.0,999.9,81.0,61.0,0.0,999.9,0,684
1,2017,09,18,2017-09-18,65.7,65.5,1020.5,3.4,7.6,13.0,999.9,73.0,60.1,0.0,999.9,1,672
3,2017,02,22,2017-02-22,40.6,35.2,1018.0,9.7,7.8,12.0,999.9,46.9,32.0,0.0,999.9,0,477
6,2017,08,26,2017-08-26,64.1,56.8,1023.0,9.9,3.7,8.9,999.9,73.9,54.0,0.0,999.9,0,570
7,2017,05,07,2017-05-07,52.5,48.9,1004.6,7.1,10.6,15.0,999.9,57.9,50.0,0.37,999.9,1,514
6,2017,06,03,2017-06-03,56.9,47.9,1012.4,10.0,8.2,14.0,999.9,66.0,43.0,0.0,999.9,0,637
7,2017,10,01,2017-10-01,55.5,46.8,1025.7,10.0,7.9,11.1,999.9,63.0,48.0,0.08,999.9,0,571
5,2017,04,14,2017-04-14,47.5,34.1,1027.8,10.0,5.0,8.9,999.9,57.9,37.9,0.0,999.9,0,515
2,2017,07,04,2017-07-04,72.0,61.5,1016.5,9.8,5.8,9.9,999.9,82.0,61.0,0.0,999.9,0,424
4,2020,10,15,2020-10-15,63.5,58.3,1019.0,10.0,10.4,14.0,999.9,66.0,57.0,0.0,999.9,1,311
4,2020,10,22,2020-10-22,65.0,60.6,1024.0,5.3,5.0,11.1,999.9,72.0,57.0,0.0,999.9,1,264
5,2020,11,27,2020-11-27,54.0,50.8,1016.0,5.4,4.4,12.0,999.9,62.1,43.0,0.48,999.9,1,279
2,2020,06,02,2020-06-02,57.1,46.6,1016.0,10.0,7.6,11.1,999.9,62.1,48.9,0.0,999.9,0,197
2,2020,01,21,2020-01-21,27.8,15.2,1026.8,10.0,11.5,15.9,999.9,34.0,21.9,0.0,999.9,0,556
4,2020,09,17,2020-09-17,68.5,63.7,1018.3,10.0,7.5,9.9,999.9,73.0,64.9,0.0,999.9,0,322
6,2020,02,01,2020-02-01,39.7,35.2,1015.9,9.9,7.2,12.0,999.9,44.1,37.0,0.04,999.9,0,409
3,2020,09,09,2020-09-09,69.3,67.3,1025.0,4.3,4.2,8.0,999.9,77.0,57.9,0.0,999.9,1,292
6,2020,09,26,2020-09-26,63.6,60.9,1020.5,4.5,4.9,8.9,999.9,73.0,59.0,0.0,999.9,1,330
5,2020,07,17,2020-07-17,62.6,59.0,1023.0,9.9,7.5,12.0,999.9,71.1,55.0,0.0,999.9,0,308
2,2020,10,20,2020-10-20,59.7,57.6,1025.5,8.0,7.2,9.9,999.9,64.0,54.0,0.0,999.9,1,336
3,2020,04,08,2020-04-08,46.5,43.0,1002.5,9.6,6.4,14.0,999.9,57.9,43.0,0.06,999.9,0,125
7,2020,09,13,2020-09-13,64.2,57.9,1022.2,10.0,8.6,15.0,999.9,72.0,59.0,0.0,999.9,0,245
2,2020,08,11,2020-08-11,75.4,71.9,1016.1,7.8,9.1,12.0,999.9,81.0,70.0,0.0,999.9,0,317
6,2020,06,06,2020-06-06,61.2,59.5,1010.2,1.6,9.3,13.0,999.9,64.9,59.0,0.45,999.9,1,262
4,2020,05,28,2020-05-28,60.2,57.5,1024.0,6.6,8.4,13.0,999.9,66.9,53.1,0.01,999.9,1,209
7,2020,05,03,2020-05-03,51.3,45.8,1009.7,9.3,10.3,15.9,999.9,61.0,46.9,0.04,999.9,0,167
4,2020,05,21,2020-05-21,48.3,42.3,1029.6,9.6,6.3,13.0,999.9,57.0,36.0,0.0,999.9,0,212
1,2020,08,24,2020-08-24,71.7,70.0,1016.1,2.3,5.9,8.9,999.9,80.1,66.0,0.0,999.9,1,320
4,2020,08,27,2020-08-27,66.9,53.6,1008.8,9.9,6.4,11.1,999.9,73.0,63.0,0.0,999.9,0,343
1,2020,02,24,2020-02-24,41.1,36.7,1018.9,8.9,7.7,11.1,999.9,50.0,28.9,0.0,999.9,1,493
3,2020,11,11,2020-11-11,61.4,58.9,1020.2,9.0,10.4,12.0,999.9,66.0,51.1,0.0,999.9,0,300
5,2020,03,27,2020-03-27,47.6,36.5,1009.0,9.7,11.3,18.1,999.9,59.0,35.1,0.02,999.9,0,195
6,2020,10,24,2020-10-24,60.9,54.9,1012.7,10.0,6.0,12.0,999.9,64.0,57.0,0.0,999.9,0,301
3,2020,11,04,2020-11-04,46.4,32.9,1031.6,10.0,7.9,13.0,999.9,55.0,37.0,0.0,999.9,0,302
7,2020,08,09,2020-08-09,71.5,66.9,1019.9,9.3,7.0,12.0,999.9,78.1,64.9,0.0,999.9,0,283
5,2020,09,04,2020-09-04,72.8,68.3,1009.8,8.3,7.4,12.0,999.9,81.0,66.9,0.31,999.9,1,383
5,2020,08,21,2020-08-21,69.1,63.5,1015.1,10.0,8.7,15.0,999.9,77.0,61.0,0.0,999.9,0,348
6,2020,04,25,2020-04-25,47.7,36.3,1015.2,10.0,7.8,15.0,999.9,59.0,39.9,0.48,999.9,0,152
6,2020,07,04,2020-07-04,66.1,63.5,1012.1,5.1,8.9,13.0,999.9,77.0,60.1,0.0,999.9,1,278
4,2020,07,09,2020-07-09,70.9,67.4,1016.6,8.2,7.7,11.1,999.9,78.1,64.9,0.0,999.9,0,313
6,2020,03,28,2020-03-28,42.3,33.0,1020.4,9.9,5.8,9.9,999.9,59.0,30.0,0.0,999.9,0,183
1,2020,09,07,2020-09-07,67.1,58.6,1021.3,10.0,8.2,14.0,999.9,75.0,59.0,0.0,999.9,0,295
2,2020,06,30,2020-06-30,66.3,62.4,1011.4,7.9,5.6,11.1,999.9,73.9,62.1,0.13,999.9,0,278
2,2020,01,14,2020-01-14,41.5,37.7,1026.2,8.8,5.3,8.9,999.9,44.1,37.9,0.0,999.9,0,497
1,2020,08,10,2020-08-10,74.3,70.7,1017.3,9.8,9.6,15.0,999.9,80.1,64.9,0.0,999.9,0,320
7,2020,10,04,2020-10-04,61.0,51.5,1024.2,10.0,7.0,11.1,999.9,66.0,52.0,0.0,999.9,0,269
3,2020,11,25,2020-11-25,45.1,35.1,1029.5,10.0,9.7,18.1,999.9,55.9,30.0,0.0,999.9,0,276
1,2020,01,13,2020-01-13,42.5,37.0,1029.6,9.5,9.2,13.0,999.9,57.0,39.9,0.01,999.9,0,476
5,2020,01,24,2020-01-24,37.3,33.7,1028.5,6.5,3.3,8.0,999.9,46.0,19.9,0.0,999.9,1,524
6,2020,11,21,2020-11-21,57.7,48.4,1024.7,9.3,10.3,18.1,999.9,64.9,51.1,0.0,999.9,0,314
5,2020,08,14,2020-08-14,74.6,64.8,1016.8,9.7,6.1,15.0,999.9,86.0,69.1,0.0,999.9,0,344
3,2020,03,18,2020-03-18,43.9,34.2,1028.4,10.0,8.3,11.1,999.9,52.0,36.0,0.49,999.9,0,298
4,2020,02,13,2020-02-13,41.3,38.0,1010.6,7.0,7.9,17.1,999.9,45.0,37.0,0.45,999.9,0,504
3,2020,07,08,2020-07-08,68.1,63.9,1018.2,9.9,9.8,13.0,999.9,73.9,55.9,0.0,999.9,0,267
5,2020,05,22,2020-05-22,57.0,52.1,1022.0,10.0,12.0,15.9,999.9,64.0,51.1,0.0,999.9,0,264
7,2020,02,02,2020-02-02,38.5,33.0,1000.4,9.3,7.9,12.0,999.9,42.1,35.6,0.0,999.9,0,391
3,2020,10,21,2020-10-21,64.9,63.1,1025.0,4.7,5.2,8.0,999.9,68.0,63.0,0.03,999.9,1,338
4,2020,10,01,2020-10-01,66.4,62.2,1013.7,9.7,9.8,17.1,999.9,70.0,61.0,0.02,999.9,0,332
5,2020,06,12,2020-06-12,63.1,61.3,1018.6,3.2,7.9,13.0,999.9,70.0,59.0,0.04,999.9,1,277
1,2020,06,22,2020-06-22,68.6,63.4,1014.7,9.7,3.9,8.0,999.9,75.9,62.1,0.0,999.9,0,295
3,2020,06,10,2020-06-10,60.3,56.9,1016.5,7.0,7.5,12.0,999.9,72.0,55.9,0.0,999.9,1,238
4,2020,11,05,2020-11-05,59.0,54.7,1031.2,9.8,10.3,13.0,999.9,64.9,54.0,0.0,999.9,0,357
2,2020,02,04,2020-02-04,42.2,39.4,1010.2,9.2,7.6,14.0,999.9,48.0,32.0,0.0,999.9,1,464
2,2020,07,14,2020-07-14,72.0,68.0,1011.3,6.2,7.9,15.0,999.9,79.0,66.9,0.0,999.9,1,320
3,2020,07,01,2020-07-01,64.4,61.5,1011.7,6.0,4.7,9.9,999.9,73.0,60.1,0.0,999.9,1,259
2,2020,02,25,2020-02-25,44.0,41.8,1014.5,5.6,5.4,8.9,999.9,50.0,28.9,0.05,999.9,1,527
6,2020,08,22,2020-08-22,72.3,67.6,1013.3,9.7,8.3,12.0,999.9,81.0,61.0,0.0,999.9,0,328
2,2020,07,28,2020-07-28,76.5,72.1,1008.0,6.6,10.9,14.0,999.9,84.9,72.0,0.0,999.9,0,298
2,2018,07,03,2018-07-03,66.9,66.2,1021.5,2.9,6.2,11.1,999.9,73.9,61.0,0.0,999.9,1,678
2,2018,05,08,2018-05-08,48.4,46.3,1024.3,4.9,6.9,11.1,999.9,60.1,39.0,0.0,999.9,1,736
2,2018,07,24,2018-07-24,69.2,68.1,1025.8,5.7,9.8,12.0,999.9,75.0,66.0,0.0,999.9,1,654
7,2018,06,24,2018-06-24,62.7,61.5,1010.4,3.7,5.9,11.1,999.9,68.0,57.0,1.03,999.9,1,553
7,2018,10,07,2018-10-07,64.4,59.6,1022.3,8.0,8.6,13.0,999.9,69.1,46.0,0.0,999.9,0,529
5,2018,08,03,2018-08-03,73.7,72.6,1022.1,4.6,9.2,13.0,999.9,79.0,71.1,0.0,999.9,1,749
3,2018,05,30,2018-05-30,59.2,54.2,1021.3,6.4,7.5,14.0,999.9,77.0,50.0,0.0,999.9,1,708
7,2018,09,16,2018-09-16,63.9,59.5,1023.1,6.8,3.7,8.0,999.9,75.9,54.0,0.0,999.9,1,597
