day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions
3,2014,12,31,31/12/2014,69.2,64.7,1024.1,9.3,4.8,9.9,14.8,86,61,0,0,1,461
2,2014,12,30,30/12/2014,68.3,55.6,1020.9,10,6.9,13,14.8,81,60.1,0,0,0,469
1,2014,12,29,29/12/2014,55.8,42.5,1007.4,9.9,5.8,15.9,25.1,64,50,0.12,0,0,411
7,2014,12,28,28/12/2014,45.4,43.2,1007.7,3,19.2,33,45.1,52,33.1,0.41,0,1,349
6,2014,12,27,27/12/2014,64.8,59,1013.1,8.7,8.5,18.1,24.1,70,59,0,0,1,406
5,2014,12,26,26/12/2014,57.9,50.2,1014.7,9.8,11.3,15.9,21,69.1,48,0,0,0,446
4,2014,12,25,25/12/2014,31.8,12.5,1027.5,10,11.1,15.9,21,39.9,27,0,0,0,303
3,2014,12,24,24/12/2014,49.7,48.5,1020.2,9.7,8.6,14,17.1,54,43,0.09,0,0,519
2,2014,12,23,23/12/2014,65.2,58.5,1010.9,6.4,8.8,12,20.9,73,57.9,0.07,0,1,732
1,2014,12,22,22/12/2014,70.4,63.4,1020.2,10,7.4,12,22.6,80.1,60.1,0,0,0,566
7,2014,12,21,21/12/2014,68.2,59.5,1019.9,10,6.8,11.1,0,77,60.1,0,0,0,409
6,2014,12,20,20/12/2014,62.5,55.2,1019,10,8.2,12,0,73,57.9,0,0,0,505
5,2014,12,19,19/12/2014,43,31.2,1008.4,7.3,14.3,22.9,29.9,57.9,37.9,0,0,1,652
4,2014,12,18,18/12/2014,35,16.8,1025.5,10,3.6,19,27,45,28,0.01,0,0,621
3,2014,12,17,17/12/2014,37.2,31.1,1009.8,8.4,14.1,24.1,35,43,33.1,0.49,0,0,555
2,2014,12,16,16/12/2014,60,54.9,1027.1,9.3,17.8,21,28.9,64.9,57.9,0.01,0,0,645
1,2014,12,15,15/12/2014,46.4,28.5,1029.7,10,8.6,13,17.1,62.1,37.9,0,0,0,720
7,2014,12,14,14/12/2014,35.8,32.8,1024.2,9.3,16.6,26,35.9,46,26.1,0,0,0,439
6,2014,12,13,13/12/2014,37.5,32,1012.7,7.3,7.3,14,19,45,30,0.2,0,0,594
5,2014,12,12,12/12/2014,38.7,28.9,1004.5,8.5,16.9,27,35.9,46.9,30.9,0.65,0,0,687
4,2014,12,11,11/12/2014,27.7,18.1,1028.5,7.9,20.3,28.9,39,43,24.1,0,0,0,669
3,2014,12,10,10/12/2014,23.5,14.3,1032.4,9.6,8.4,17.1,29.9,33.1,19,0,0,0,649
2,2014,12,9,09/12/2014,59.2,50.1,1024.6,10,7.4,11.1,0,69.1,50,0,0,0,645
1,2014,12,8,08/12/2014,78.2,69.6,1013.6,9.3,2.3,7,15,88,61,0,0,0,579
7,2014,12,7,07/12/2014,71,64.7,1017.3,9.5,7,11.1,0,78.1,57,0.01,0,0,493
6,2014,12,6,06/12/2014,70.8,68.3,1011.1,6,5.8,14,0,78.1,66.9,0,0,1,628
5,2014,12,5,05/12/2014,77.4,68.4,1019.6,8.3,7.3,14,18.2,87.1,69.1,0,0,0,673
4,2014,12,4,04/12/2014,69.3,67.3,1025,4.3,4.2,8,0,77,57.9,0,0,1,606
3,2014,12,3,03/12/2014,66.4,60,1016.2,10,5.5,13,0,79,57.9,0,0,0,569
2,2014,12,2,02/12/2014,76.1,72.5,1015.8,5.1,12.3,15,19,82,64.9,0,0,1,611
1,2014,12,1,01/12/2014,60.4,58.9,1013.8,3.9,7.4,11.1,0,73.9,59,0,0,1,644
7,2014,11,30,30/11/2014,67.9,63.1,1009,10,9.1,14,0,75,62.1,0,0,0,377
6,2014,11,29,29/11/2014,69.2,68.1,1025.8,5.7,9.8,12,30.4,75,66,0,0,1,394
5,2014,11,28,28/11/2014,49.5,43.2,1007.7,10,5.6,8.9,14.8,57.9,34,0,0,0,444
4,2014,11,27,27/11/2014,35,23.6,1025.6,10,9.7,15,20,42.1,28.9,0,0,0,378
3,2014,11,26,26/11/2014,56.1,51,1014.8,5.7,8.3,13,20,66,51.1,0,0,1,742
2,2014,11,25,25/11/2014,45.4,42.5,1008.2,5.9,8.5,15,34.8,48.9,42.8,0.01,0,0,599
1,2014,11,24,24/11/2014,46.4,33.6,1030.7,10,7.1,12,15.9,57.9,35.1,0,0,0,722
7,2014,11,23,23/11/2014,63.9,52.9,1020.3,10,17.3,21,28.9,80.1,61,0,0,0,425
6,2014,11,22,22/11/2014,72.2,68.4,1012.4,7.8,2.5,9.9,0,78.1,66.9,0.55,0,1,512
5,2014,11,21,21/11/2014,54.7,40,1032.3,10,8.4,12,19,61,46,0,0,0,677
4,2014,11,20,20/11/2014,45.4,42.8,1011.9,7.8,8.1,18.1,28,48.9,42.8,0.04,0,0,635
3,2014,11,19,19/11/2014,56.7,53.8,1019.4,6.2,12.4,22,33,70,52,0.02,0,1,633
2,2014,11,18,18/11/2014,29.8,22.3,1027.4,10,3.3,8.9,0,39.9,19,0,0,0,712
1,2014,11,17,17/11/2014,46.5,37.2,1016.1,10,13.7,20,24.1,52,41,0.01,0,0,666
7,2014,11,16,16/11/2014,71.1,69.4,1013.1,1.7,6.8,9.9,30.4,77,68,0.01,0,1,429
6,2014,11,15,15/11/2014,64.6,61,1018.5,7,7.2,9.9,0,75.9,55,0,0,1,529
5,2014,11,14,14/11/2014,41.6,39,1028.8,9,11.3,15,0,48,21.9,0,0,0,654
4,2014,11,13,13/11/2014,48.9,46.2,1021.1,9.5,7.3,13,0,52,45,0,0,0,696
3,2014,11,12,12/11/2014,43,28.8,1013.8,10,12.4,18.1,26,52,39,0,0,0,546
2,2014,11,11,11/11/2014,62.5,53.1,1019.9,7.3,8.5,14,0,70,53.1,0.04,0,1,493
1,2014,11,10,10/11/2014,59,44.9,1018.7,9.7,2.2,14,0,64,53.1,0,0,0,560
7,2014,11,9,09/11/2014,45.4,44.9,1020.7,4.3,5.8,9.9,0,46.9,44.1,0.01,0,1,419
