day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions
6,2016,12,31,31/12/2016,52.4,47.8,1021.8,7.1,8.8,14,18.2,70,42.1,0,0,1,465
5,2016,12,30,30/12/2016,23.5,11.8,1011.5,7.4,12.2,24.1,29.9,27,12.9,0,0,0,583
4,2016,12,29,29/12/2016,52.1,48.9,1014.6,6.5,9.5,24.1,35,61,45,0.09,0,0,542
3,2016,12,28,28/12/2016,45.8,42.9,1010.3,7,10.3,15,0,46.9,33.1,0,0,0,546
2,2016,12,27,27/12/2016,44.8,43,1019,4.4,13.4,22.9,32.1,51.8,37.9,0,0,1,569
1,2016,12,26,26/12/2016,81.8,65.6,1009.1,9.2,3.6,11.1,18.2,91,68,0.06,0,0,394
7,2016,12,25,25/12/2016,70.2,52.8,1009.4,10,14.2,20,28,81,64.9,0,0,0,365
6,2016,12,24,24/12/2016,68.7,67.9,1015.6,2.6,4.7,8.9,20.9,75,61,0,0,1,554
5,2016,12,23,23/12/2016,67,59.2,1021.2,9.9,6.5,11.1,0,75.9,60.1,0,0,0,692
4,2016,12,22,22/12/2016,55.3,48.6,1022.7,10,9.6,15,24.3,64,46,0,0,0,700
3,2016,12,21,21/12/2016,60,55.8,1020,6.5,8.2,12,20,78.1,55.9,0,0,1,676
2,2016,12,20,20/12/2016,76,67.2,1016.9,8.9,3,13,21.7,86,64,0,0,0,719
1,2016,12,19,19/12/2016,75.8,74.1,1015.6,6.7,9.7,15,24.3,82,71.1,0,0,0,722
7,2016,12,18,18/12/2016,42,38.3,1023.6,6.4,12.3,15.9,21,46.9,28,0.03,0,1,521
6,2016,12,17,17/12/2016,67.1,60.6,1017.5,10,7.7,12,0,73,52,0.01,0,0,623
5,2016,12,16,16/12/2016,66.8,55.9,1024.6,10,9.3,17.1,18.1,73,54,0,0,0,792
4,2016,12,15,15/12/2016,35.7,27.3,1016,9.8,11.3,19,26,44.1,28.9,0,0,0,749
3,2016,12,14,14/12/2016,44.7,39.1,1012.9,9.6,7.4,14,20,48,42.8,0.22,0,0,689
2,2016,12,13,13/12/2016,53.8,46.9,1030.4,9.3,13.2,22.9,31.1,61,36,0,0,0,630
1,2016,12,12,12/12/2016,48.9,39.6,1004.5,7.8,17.1,26,38.1,63,34,2.91,0,0,665
7,2016,12,11,11/12/2016,75,68.4,1011.3,6.2,2.7,11.1,20.9,87.1,66.2,0.11,0,1,522
6,2016,12,10,10/12/2016,67.7,66.3,1016.8,5.9,13,17.1,22,73,63,0,0,0,555
5,2016,12,9,09/12/2016,44,30.5,1007.4,10,9.3,25.1,34,48,41,0.07,0,0,701
4,2016,12,8,08/12/2016,42.6,38.4,1010.8,7.8,14.1,20,27,46.9,39,0.38,0,1,635
3,2016,12,7,07/12/2016,44.3,41,1026.9,3.9,3,15,0,53.6,41,0.08,0,1,637
2,2016,12,6,06/12/2016,53.5,51.2,1022.8,3.9,8.3,15.9,20,60.1,46,0.13,0,1,711
1,2016,12,5,05/12/2016,57.2,42.7,1024.1,10,12.5,19,26,72,46,0,0,0,791
7,2016,12,4,04/12/2016,58.8,51.3,1024.7,10,6.5,13,15.6,69.1,46,0,0,0,482
6,2016,12,3,03/12/2016,37.4,28.7,1032,10,7.1,12,0,50,26.1,0.03,0,0,592
5,2016,12,2,02/12/2016,34.5,22.8,1026,10,6.7,11.1,0,44.1,26.1,0,0,0,690
4,2016,12,1,01/12/2016,28.1,14.6,1013.1,8.2,9.8,19,28,39.9,21.9,0,0,1,734
3,2016,11,30,30/11/2016,43.3,36.2,1017.1,10,13,20,26,48.9,34,0.09,0,0,730
2,2016,11,29,29/11/2016,64.5,53.4,1022,10,14.4,22.9,29.9,73.9,53.1,0,0,0,752
1,2016,11,28,28/11/2016,58.8,51,1025.7,8.5,4.7,9.9,0,71.1,48.9,0,0,0,647
7,2016,11,27,27/11/2016,46.1,38.6,1024,9.9,9.8,15,0,55.9,24.1,0,0,0,466
6,2016,11,26,26/11/2016,56.4,49.4,1030.6,10,10.9,17.1,22,63,51.1,0.01,0,0,463
5,2016,11,25,25/11/2016,67.7,56.8,1018.7,10,4.3,14,18.2,75.9,62.6,0,0,0,455
4,2016,11,24,24/11/2016,69.5,66.2,1008.6,7,9.8,18.1,22.9,77,64,0,0,1,428
3,2016,11,23,23/11/2016,60.6,54.6,1024.2,10,6.9,12,25.2,69.1,53.1,0,0,0,807
2,2016,11,22,22/11/2016,36.3,30.8,1025.7,6.7,9.3,19,0,46.9,21.9,0,0,1,765
1,2016,11,21,21/11/2016,21.9,5,1029.7,10,11,15.9,22,32,18,0,0,0,684
7,2016,11,20,20/11/2016,19,3.3,1023.1,10,13.6,21,32.1,26.1,14,0,0,0,529
6,2016,11,19,19/11/2016,42.9,37.4,1026.3,9.7,7.5,15,20,48.9,37,0,0,0,692
5,2016,11,18,18/11/2016,46.9,45.9,1011.4,6.8,9.6,13,18.1,60.1,46,0.08,0,1,776
4,2016,11,17,17/11/2016,39.4,32.1,1015,9.2,15.5,20,26,48.9,34,0.01,0,0,707
3,2016,11,16,16/11/2016,32.3,28.9,1032,8.2,8.8,19,26,37.9,28,0,0,0,705
2,2016,11,15,15/11/2016,45.8,36.5,1027.9,10,15.4,22.9,29.9,52,42.1,0,0,0,741
1,2016,11,14,14/11/2016,50.4,49.1,1010.2,5.3,17.6,28,35,57,44.1,0.01,0,1,668
7,2016,11,13,13/11/2016,54,41.2,1020.4,10,8.3,11.1,0,60.1,41,0,0,0,518
6,2016,11,12,12/11/2016,59.8,55,1014.3,9.6,12.3,15.9,21,66,51.1,0,0,0,603
5,2016,11,11,11/11/2016,28.2,9.9,1023.9,10,12.8,18.1,22,39.9,24.1,0,0,0,665
4,2016,11,10,10/11/2016,39.4,32.9,1015.6,9.5,9.2,19,24.1,46.9,28,0,0,0,706
3,2016,11,9,09/11/2016,37.6,28.7,1032.5,10,16,25.1,29.9,45,30.9,0,0,0,541
2,2016,11,8,08/11/2016,61.9,53.9,1017,9.6,4.3,12,16.9,64.9,42.8,0,0,0,620
1,2016,11,7,07/11/2016,70.3,66.7,1020.1,7.1,6.5,9.9,17.4,79,64,0,0,1,699
7,2016,11,6,06/11/2016,58.5,54,1016.5,9.2,13.1,18.1,24.1,61,57,0.01,0,0,532
6,2016,11,5,05/11/2016,62.2,51.9,1024.1,9.5,4.8,8,18.2,72,52,0.02,0,0,626
5,2016,11,4,04/11/2016,47.7,45.7,1008.4,6.1,15.9,28.9,40,51.8,45,0.57,0,0,777
4,2016,11,3,03/11/2016,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,0,0,689
3,2016,11,2,02/11/2016,68,66.6,1011.8,4.5,8,14,21.7,70,64.4,0.39,0,1,665
2,2016,11,1,01/11/2016,71.2,66.7,1010.1,7.9,9,18.1,22.9,77,66.9,0,0,0,732
1,2016,10,31,31/10/2016,57.6,53.3,1016.5,9.6,6,13,19.1,64.9,50,0.02,0,0,655
7,2016,10,30,30/10/2016,38.9,36.3,1010.4,4,22,34,45.1,46.9,26.1,0.2,9.1,0,557
6,2016,10,29,29/10/2016,48.3,45.8,995.6,4.1,13.3,22,32.1,57,39,0.89,0,1,614
5,2016,10,28,28/10/2016,48.5,46.1,1005.4,2.9,9.6,14,30.4,66,45,0,0,1,798
4,2016,10,27,27/10/2016,73.2,63.2,1012.8,10,8.7,21,25.1,82,64.9,0,0,0,831
3,2016,10,26,26/10/2016,69.2,67.1,1017.1,6.5,5.3,9.9,20.9,73.9,64,0.02,0,0,706
2,2016,10,25,25/10/2016,55.2,45.5,1020,9.4,4.4,8.9,0,68,42.1,0,0,0,566
1,2016,10,24,24/10/2016,37,25.3,1007.7,9.7,10.4,18.1,26,44.1,30,0.49,0,0,573
7,2016,10,23,23/10/2016,27.7,14.7,1023.7,10,8.7,15,20,37,18,0,0,0,534
6,2016,10,22,22/10/2016,14.7,2,1024.9,10,12.9,20,31.1,18,5,0,0,0,629
5,2016,10,21,21/10/2016,38.7,25.2,999.2,8.4,24.3,31.1,42.9,46.9,33.1,0.63,0,0,851
4,2016,10,20,20/10/2016,63.7,61.5,1018.4,9,8.9,13,19,80.1,62.1,0,0,0,662
3,2016,10,19,19/10/2016,45.1,32.4,1019.5,10,12.6,18.1,24.1,52,36,0.02,0,0,676
2,2016,10,18,18/10/2016,45.6,23.6,1019.5,10,16.3,24.1,35.9,63,41,0,0,0,590
1,2016,10,17,17/10/2016,44.1,42.8,1017.5,3.1,6,9.9,20,48.9,41,0.31,0,1,585
7,2016,10,16,16/10/2016,66.8,62,1025.3,9.7,6.7,11.1,0,75.9,48,0,0,0,503
6,2016,10,15,15/10/2016,73,66.9,1019,10,11.9,15.9,22,79,64,0,0,0,641
5,2016,10,14,14/10/2016,65.8,59.5,1017.5,9.3,8.2,15,15.6,73.9,55,0,0,0,767
4,2016,10,13,13/10/2016,60.9,53.6,1023.2,10,6.7,12,24.3,73.9,50,0,0,0,757
3,2016,10,12,12/10/2016,72,69.9,1014.3,6.9,10.7,15,18.1,77,64.9,0.01,0,1,498
2,2016,10,11,11/10/2016,73,71.2,1016.6,3.5,9,15.9,20,84,66.9,0,0,1,739
