day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions
7,2017,12,31,31/12/2017,43.3,39.7,1014.5,6.6,16,28,39,48,28.9,0.35,0,0,462
6,2017,12,30,30/12/2017,59.2,56.3,1005.6,9.2,9.8,15,22.6,66.9,53.1,0.05,0,0,565
5,2017,12,29,29/12/2017,68.3,63.6,1014.5,9.6,9,13,20.9,75.9,63,0,0,0,598
4,2017,12,28,28/12/2017,71.7,70,1016.1,2.3,5.9,8.9,17.4,80.1,66,0,0,1,609
3,2017,12,27,27/12/2017,73.6,70.2,1017,7.1,9.7,13,24.3,82,68,0,0,1,577
2,2017,12,26,26/12/2017,67.1,58.8,1016.6,9.7,11.4,18.1,22,73,54,0,0,0,543
1,2017,12,25,25/12/2017,36.4,25.7,1022.2,10,12.9,21,28,48.9,27,0.03,0,0,333
7,2017,12,24,24/12/2017,56.8,46.4,1015.6,10,8,17.1,20,64,44.1,0,0,0,469
6,2017,12,23,23/12/2017,43.1,35,1026.2,9.8,10.9,14,0,50,25,0,0,0,565
5,2017,12,22,22/12/2017,70.4,66.5,1015.3,7.3,13.9,21,25.1,84.9,66.9,0,0,1,720
4,2017,12,21,21/12/2017,57,50.5,1014.1,10,5.4,9.9,0,66,48.9,0,0,0,742
3,2017,12,20,20/12/2017,33.8,24.6,1017.3,10,13.8,25.1,32.1,45,23,0.2,0,0,700
2,2017,12,19,19/12/2017,37.4,32,1008.7,7.3,16,22,31.1,43,34,0.35,0,0,657
1,2017,12,18,18/12/2017,63.7,61.5,1012.2,5.4,11.2,18.1,25.1,73.9,54,0.34,0,1,706
7,2017,12,17,17/12/2017,66.3,57.6,1014.9,10,7.4,14,0,77,59,0.19,0,0,547
6,2017,12,16,16/12/2017,44.5,42.8,1013.9,4.7,7,12,17.4,48,42.1,0.08,0,1,661
5,2017,12,15,15/12/2017,52.6,48.4,1034.2,9.8,7.5,11.1,0,59,45,0,0,0,999
4,2017,12,14,14/12/2017,29.4,11.2,1014.4,10,18.9,27,36.9,37,21.9,0,0,0,883
3,2017,12,13,13/12/2017,14.3,0.2,1024.1,10,11.9,20,26,33.1,8.1,0,11.8,0,709
2,2017,12,12,12/12/2017,34.1,16.6,1009.1,10,8.9,19,22.9,39.9,24.1,0,0,0,687
1,2017,12,11,11/12/2017,48.2,42.2,1019.2,9.6,4,7,0,59,39,0,0,0,725
7,2017,12,10,10/12/2017,32.8,30.3,1013.3,6.3,8,17.1,25.1,37.4,24.1,0.17,0,0,513
6,2017,12,9,09/12/2017,43.9,37.1,1024.1,10,11.3,17.1,0,48.9,39,0,0,0,538
5,2017,12,8,08/12/2017,51.6,37.5,1024.1,10,11,15.9,22.9,60.1,39.9,0,0,0,682
4,2017,12,7,07/12/2017,45,42.7,1027.8,5.3,13.4,27,38.1,50,36,0.14,0,1,693
3,2017,12,6,06/12/2017,42.5,32.4,1033.2,9.9,14.9,19,27,57,39,0.09,0,0,651
2,2017,12,5,05/12/2017,71.7,66.5,1020.5,10,10.4,14,22.6,77,63,0,0,0,704
1,2017,12,4,04/12/2017,72.4,66.5,1012.3,6.4,11.2,15,21,80.1,68,0.06,0,1,684
7,2017,12,3,03/12/2017,66.9,60.8,1017.6,9.3,6.6,13,19.1,73.9,55.9,0,0,1,448
6,2017,12,2,02/12/2017,68.2,59.1,1016.4,10,14.1,18.1,26,77,62.1,0.11,0,0,575
5,2017,12,1,01/12/2017,57,49.8,1016.1,9.9,8.7,15.9,19.1,62.1,52,0,0,0,772
4,2017,11,30,30/11/2017,68.5,49.7,1026.5,10,2.1,9.9,0,80.1,55,0,0,0,663
3,2017,11,29,29/11/2017,60.3,56.9,1016.5,7,7.5,12,26.1,72,55.9,0,0,1,701
2,2017,11,28,28/11/2017,71.8,71.2,1020.6,4.4,9.4,15.9,19.1,79,69.1,0.01,0,1,649
1,2017,11,27,27/11/2017,44.8,41.2,1019,7.8,15.2,22.9,33,53.1,30,0.34,0,0,635
7,2017,11,26,26/11/2017,33.7,19.6,1035.3,10,11.5,18.1,24.1,37.9,27,0,0,0,485
6,2017,11,25,25/11/2017,38.5,29.4,1021.6,10,7.2,14,0,48,30.9,0,0,0,456
5,2017,11,24,24/11/2017,51,50.2,1015.1,6.2,12.2,15.9,20,59,48,0.01,0,1,502
4,2017,11,23,23/11/2017,47.4,41.6,1009.2,5.4,18.3,29.9,41,54,39.9,0.84,0,1,469
3,2017,11,22,22/11/2017,45.3,32.4,1015.5,10,14.2,20,28.9,53.1,42.1,0,0,0,774
2,2017,11,21,21/11/2017,61.3,54.4,1007.8,9.8,10,15.9,21,69.1,55.4,2.21,0,0,790
1,2017,11,20,20/11/2017,38.1,29.8,1003.3,10,9.7,20,28,46.9,32,0,0,0,748
7,2017,11,19,19/11/2017,21.8,7.8,1018.1,10,9.8,18.1,24.1,28.9,16,0,0,0,573
6,2017,11,18,18/11/2017,43.1,38.6,1033.5,8.3,13.8,18.1,22.9,48.9,35.1,0.03,0,1,629
5,2017,11,17,17/11/2017,36.8,32.9,1016.1,6.4,13.3,24.1,33,46,23,0.24,1.2,1,814
4,2017,11,16,16/11/2017,47.4,29,1012.7,10,8.9,15,19,62.1,41,0,0,0,811
3,2017,11,15,15/11/2017,67.9,66.3,1024.4,3.3,6.2,9.9,0,75.9,63,0.01,0,1,713
2,2017,11,14,14/11/2017,68,65.1,1007.5,6.9,8,15,20,73,62.1,0.41,0,0,647
1,2017,11,13,13/11/2017,70.8,68.6,1006.3,5.4,9.8,15.9,24.1,78.1,66.9,0,0,1,699
7,2017,11,12,12/11/2017,75.8,71,1013.9,7.6,10.3,12,18.1,81,71.6,0,0,1,539
6,2017,11,11,11/11/2017,73.6,71.8,1018.5,4.7,11.1,15.9,25.2,79,66.9,0.05,0,1,623
5,2017,11,10,10/11/2017,51,44.8,1015.3,8.8,15.8,26,38.1,59,46,0.01,0,0,724
4,2017,11,9,09/11/2017,65.3,57.4,1022,10,12.7,21,28.9,73,55.9,0,0,0,702
3,2017,11,8,08/11/2017,62.4,60.5,1017,2,9,17.1,22,75,59,0.01,0,1,662
2,2017,11,7,07/11/2017,59.7,57.6,1025.5,8,7.2,9.9,0,64,54,0,0,1,710
1,2017,11,6,06/11/2017,50.7,49.2,1015.7,2.1,10.2,18.1,24.1,55.9,45,0.55,0,1,682
7,2017,11,5,05/11/2017,69.9,69.1,1024.3,9.2,8.4,14,0,79,59,0,0,0,519
6,2017,11,4,04/11/2017,68.3,65.9,1015.1,5.6,5.1,8,17.4,78.1,64,0.17,0,1,613
5,2017,11,3,03/11/2017,59.2,45.1,1011.3,10,10.6,17.1,22.9,68,53.1,0,0,0,776
4,2017,11,2,02/11/2017,70.9,69.4,1015,5.7,9.3,17.1,25.1,79,60.1,0,0,1,746
