day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions
1,2018,12,31,31/12/2018,71.2,64.3,1018,7.8,7.8,11.1,17.4,77,66.2,0.01,0,1,622
7,2018,12,30,30/12/2018,63.6,59.9,1013.6,8.8,11.2,22.9,31.1,73,59,0.28,0,0,404
6,2018,12,29,29/12/2018,39.7,34,1007.1,9.6,13.1,20,28.9,46.9,34,0.86,0,0,499
5,2018,12,28,28/12/2018,71.5,67,1011.2,9.7,6.8,8.9,18.2,77,66.9,0,0,0,681
4,2018,12,27,27/12/2018,76.5,53.5,1009.7,10,4.2,19,20,84.9,66.9,0,0,0,582
3,2018,12,26,26/12/2018,71.4,67.9,1011.9,6.9,9,12,18.2,77,64,0,0,1,514
2,2018,12,25,25/12/2018,60.2,57.5,1024,6.6,8.4,13,26.9,66.9,53.1,0.01,0,1,328
1,2018,12,24,24/12/2018,53.9,47.3,1023.8,10,6.3,12,0,63,41,0.01,0,0,580
7,2018,12,23,23/12/2018,47.6,41.6,1027.2,9.3,13.6,19,24.1,53.1,37.9,0,1.2,0,505
6,2018,12,22,22/12/2018,18.3,5.7,1035.5,10,11,18.1,22.9,28,15.1,0,3.1,0,568
5,2018,12,21,21/12/2018,37.9,29.8,1023.3,10,13.4,19,27,43,19,0,0,0,782
4,2018,12,20,20/12/2018,61.1,52.9,1011,9.5,10,15.9,20,75,52,0.02,0,0,806
3,2018,12,19,19/12/2018,56,52.3,1016.4,8.3,17.1,25.1,36.9,64.4,53.1,1.67,0,1,749
2,2018,12,18,18/12/2018,32.1,24,1031.2,8,9.6,13,22.9,37,26.1,0.15,0,0,731
1,2018,12,17,17/12/2018,25,20.3,1001.1,1.9,25.7,35.9,46,36,18,0.01,8,1,689
7,2018,12,16,16/12/2018,55.7,42.6,1018.6,10,6.9,13,27.8,64,45,0,0,0,622
6,2018,12,15,15/12/2018,65.6,54,1012.5,9.9,8.6,12,0,73.9,57,0,0,0,628
5,2018,12,14,14/12/2018,75.9,73.3,1012.7,5.4,9.2,14,20,82.9,71.1,0,0,1,841
4,2018,12,13,13/12/2018,73.9,62.4,1025.2,10,4.6,8.9,15,82.9,60.8,0,0,0,686
3,2018,12,12,12/12/2018,47.4,45.8,1007,2,11.5,24.1,29.9,52,41,0.03,0,1,631
2,2018,12,11,11/12/2018,59.6,50.4,1006.5,9.6,11,17.1,25.1,64.9,51.1,0.08,0,0,707
1,2018,12,10,10/12/2018,56.8,56.2,1014.3,2.1,12.1,17.1,25.1,61,39,0.38,0,1,651
7,2018,12,9,09/12/2018,73.5,59.6,1012.4,10,9.3,15,15.6,81,66.9,0,0,0,465
6,2018,12,8,08/12/2018,72.6,66.2,1012.6,8.5,5.1,11.1,19.1,82.9,62.1,0,0,1,652
5,2018,12,7,07/12/2018,65,59.4,1026.7,10,7.2,11.1,17.1,75,55.9,0,0,0,705
4,2018,12,6,06/12/2018,56.6,54.5,1011.5,7,8.4,20,25.1,66,50,0,0,0,681
3,2018,12,5,05/12/2018,54.3,42.2,1029,10,10.1,15,20,60.1,46.9,0.03,0,0,652
2,2018,12,4,04/12/2018,34.8,29,999.1,9.7,22.8,31.1,40,39,32,0.99,0,0,684
1,2018,12,3,03/12/2018,26,18.6,1020,7.4,8,18.1,22,30.9,17.1,0.04,0,0,697
7,2018,12,2,02/12/2018,50.3,46.2,1013.1,8.6,6,13,0,57,46,0,0,1,558
6,2018,12,1,01/12/2018,61.2,50.2,1027.9,10,10.3,18.1,22,73,50,0,0,0,601
