day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions
4,2015,12,31,31/12/2015,86.7,64.3,1007.4,9.4,3.8,15,18.2,93.9,70,0,0,0,527
3,2015,12,30,30/12/2015,70.4,65.7,1016,10,9.1,12,0,75.9,59,0,0,0,501
2,2015,12,29,29/12/2015,60.8,45.9,1013.8,9.7,12.6,21,26,70,48.9,0.39,0,0,533
1,2015,12,28,28/12/2015,74.3,68.8,1019.1,9.5,8.5,12,18.2,82,70,0,0,0,490
7,2015,12,27,27/12/2015,43.2,42.4,1012.4,2.8,17,27,36.9,52,28,0.61,0,1,518
6,2015,12,26,26/12/2015,75.3,69.3,1009.6,9,12.1,15.9,22.9,82,68,0,0,0,395
5,2015,12,25,25/12/2015,63.6,57.2,1019.3,6.9,8.1,13,17.4,72,53.1,0.01,0,1,321
4,2015,12,24,24/12/2015,54.8,50.9,1021.4,9.1,6,12,17.4,62.1,34,0,0,0,603
3,2015,12,23,23/12/2015,66.3,59.2,1021.1,7.8,3.6,8.9,17.4,81,57,0.01,0,1,805
2,2015,12,22,22/12/2015,56.7,48.8,1018.2,10,8.9,15,21,66.9,48.9,0.25,0,0,699
1,2015,12,21,21/12/2015,69.1,61.4,1019.2,9.8,4.6,8,0,81,57.9,0.01,0,0,612
7,2015,12,20,20/12/2015,72.3,68.8,1004.1,6.8,4.5,11.1,22.6,82,62.1,0.01,0,1,500
6,2015,12,19,19/12/2015,45.3,31.2,1030.8,10,11.9,18.1,24.1,60.1,37.9,0,0,0,624
5,2015,12,18,18/12/2015,27.5,12.1,1013.4,10,12.4,15.9,25.1,33.1,21.9,0,0,0,767
4,2015,12,17,17/12/2015,59.4,53.6,1022.9,10,10.5,14,21.7,66.9,45,0,0,0,745
3,2015,12,16,16/12/2015,48.3,34.9,1014.8,10,6.2,8.9,17.4,55,39.9,0,0,0,673
2,2015,12,15,15/12/2015,21.9,10.6,1031.6,10,8.5,15.9,20.9,37,3.9,0,9.1,0,755
1,2015,12,14,14/12/2015,51.8,46.1,1015.5,9.4,6.1,12,18.2,63,45,0,0,0,637
7,2015,12,13,13/12/2015,63.1,61,1015,4.4,5,11.1,0,73,60.1,0,0,1,549
6,2015,12,12,12/12/2015,55.6,40.7,1013.4,10,13.3,22.9,29.9,63,46.9,0.1,0,0,578
5,2015,12,11,11/12/2015,45.4,36.5,1004.1,10,12.8,24.1,33,57.9,41,0.4,0,0,694
4,2015,12,10,10/12/2015,54.8,33.2,1023.4,10,15,22.9,28,61,48,0.61,0,0,668
3,2015,12,9,09/12/2015,63.1,58.4,1016.8,9.9,4.9,7,0,70,55,0.01,0,0,575
2,2015,12,8,08/12/2015,52.7,39.6,1015.4,10,8.2,18.1,22.9,66,41,0.07,0,0,618
1,2015,12,7,07/12/2015,62.4,57.8,1023.8,8.5,13.4,18.1,24.1,68,57.9,0,0,0,668
7,2015,12,6,06/12/2015,75.7,70.6,1022.4,6.1,9.9,14,19,86,66,0,0,1,485
6,2015,12,5,05/12/2015,77.9,71.7,1021.1,5.7,4.1,11.1,18.1,90,71.1,0,0,1,629
5,2015,12,4,04/12/2015,68.3,64.1,1020.1,10,11.2,19,22,75,50,0,0,0,680
4,2015,12,3,03/12/2015,31.5,23,1039.1,10,9.7,18.1,22.9,34,28,0.14,0,0,623
3,2015,12,2,02/12/2015,41.4,36.6,1006.1,6.5,11.9,18.1,27,45,36,0.36,1,1,655
2,2015,12,1,01/12/2015,71,69.3,1012.4,6.1,8.3,14,15.6,80.1,62.1,1.24,0,1,746
1,2015,11,30,30/11/2015,73.4,68.5,1008.9,8.9,9.2,15,19,87.1,66,0,0,1,611
7,2015,11,29,29/11/2015,65.4,64.2,1012.1,1.9,8.8,14,18.2,69.1,64,0.05,0,1,453
6,2015,11,28,28/11/2015,63.3,61.3,1014.7,6.7,7,18.1,21.7,72,62.1,0.02,0,0,508
5,2015,11,27,27/11/2015,76.9,68.4,1010.2,9.6,6.4,9.9,17.4,86,68,0.04,0,0,480
4,2015,11,26,26/11/2015,84.9,65.9,1010.1,9.5,3.1,14,17.1,95,70,0,0,0,383
3,2015,11,25,25/11/2015,81.9,62.3,1011.7,10,3.1,9.9,0,91,66.9,0,0,0,717
2,2015,11,24,24/11/2015,68.6,64.4,1006.9,7.8,11.1,17.1,26,73,64.9,0.92,0,0,733
1,2015,11,23,23/11/2015,37.7,24.2,1016,10,9.9,20,27,45,30,0,0,0,704
7,2015,11,22,22/11/2015,47.5,35.9,1011.3,9.8,17.9,22.9,32.1,63,42.1,0.59,0,0,431
6,2015,11,21,21/11/2015,64.1,56.8,1023,9.9,3.7,8.9,0,73.9,54,0,0,0,597
5,2015,11,20,20/11/2015,55.3,42.1,1023.9,9.7,6.8,13,18.2,71.1,46.9,0,0,0,819
4,2015,11,19,19/11/2015,72.9,69.1,1016.8,6.5,6.3,14,0,80.1,66.9,0.06,0,1,797
3,2015,11,18,18/11/2015,77.6,66.1,1014.3,8.3,8.6,11.1,17.1,88,69.1,0,0,1,628
2,2015,11,17,17/11/2015,74.5,71.7,1008.8,3.3,11.8,15.9,20,80.1,71.1,0,0,0,684
1,2015,11,16,16/11/2015,61.5,55.4,1020.4,9.2,8.4,12,22.6,72,54,0,0,1,618
7,2015,11,15,15/11/2015,61.3,57,1013.5,8.9,9.2,15,22,66,57,0.01,0,0,500
6,2015,11,14,14/11/2015,36.8,30.2,1027.7,7.1,14.7,27,41,46.9,25,0,0,1,613
5,2015,11,13,13/11/2015,24.2,8.3,1016,10,18.4,22,39,43,17.1,0.04,0,0,677
4,2015,11,12,12/11/2015,39.7,34.5,1021.6,7.8,11.8,19,25.1,55.9,37,0.51,0,0,637
3,2015,11,11,11/11/2015,31.6,20.6,1017.3,10,7,15,24.3,46.9,24.1,0,0,0,530
2,2015,11,10,10/11/2015,67.1,63.5,1020.4,5.9,5.4,11.1,20,73,60.1,0.02,0,1,757
1,2015,11,9,09/11/2015,73.7,67.3,1006.1,8.9,10.4,15.9,17.4,78.1,69.1,0,0,0,615
7,2015,11,8,08/11/2015,64.7,62.1,1022.8,9.5,6.6,11.1,22.6,71.1,52,0,0,0,472
6,2015,11,7,07/11/2015,44.2,40.5,1017.3,10,13.4,20,27,50,39,0,0,0,500
5,2015,11,6,06/11/2015,62.3,59.6,1009.3,4.8,19.1,25.1,35,64.9,57,0.94,0,1,616
4,2015,11,5,05/11/2015,69.8,69.4,1014.3,4.7,13.9,19,24.1,75.9,66,0,0,0,690
3,2015,11,4,04/11/2015,70.3,60.1,1020.7,9.1,5.3,8.9,0,79,57.9,0,0,1,672
2,2015,11,3,03/11/2015,62.4,49.7,1025.7,10,12.4,19,24.1,73,59,0.07,0,0,655
1,2015,11,2,02/11/2015,51,47.2,1020.7,9.5,8.2,12,14.8,59,39,0,0,1,613
7,2015,11,1,01/11/2015,51,30.2,1026.2,10,5.2,11.1,17.4,63,39.9,0,0,0,312
6,2015,10,31,31/10/2015,61.5,45.7,1023.7,10,13.4,20,28,75,50,0,0,0,357
5,2015,10,30,30/10/2015,35.3,32.5,1021.9,9.3,7.5,17.1,21,45,24.1,0.3,0,0,688
4,2015,10,29,29/10/2015,31,23.6,1009.5,8.9,9.5,14,35.6,35.1,27,0,7.9,0,767
3,2015,10,28,28/10/2015,74.1,70.4,1018.5,7.6,8,12,17.4,82.9,70,0,0,0,689
