day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions
1,2012,12,31,31/12/2012,59.8,50.2,1023.4,10,3,5.1,0,78.1,53.1,0,0,0,482
7,2012,12,30,30/12/2012,39.3,37.2,1016.5,5.5,8.7,15,20,45,30.9,0.1,0,1,411
6,2012,12,29,29/12/2012,43.5,30.3,1014.4,10,12.3,18.1,24.1,51.1,39,0.03,0,0,442
5,2012,12,28,28/12/2012,48.4,34.5,1007.5,9.9,10.8,15.9,27,57,43,0.36,0,0,557
4,2012,12,27,27/12/2012,20.2,1.9,1023.6,10,13.3,21,31.1,39.9,15.1,0,0,0,525
3,2012,12,26,26/12/2012,65.4,61.6,1015.1,9.2,7.7,20,27,72,50,0.08,0,0,531
2,2012,12,25,25/12/2012,51.3,43.6,1014.8,10,7.9,15,21,61,42.1,0,0,0,354
1,2012,12,24,24/12/2012,51.1,39,1020.3,10,15.3,19,27,57.9,37,0,0,0,518
7,2012,12,23,23/12/2012,40.1,29.4,1008.2,8.8,19.7,27,35.9,59,34,1.18,0,0,408
6,2012,12,22,22/12/2012,22,5.8,1027.2,10,8.1,15.9,24.1,27,12.9,0.01,0,0,542
5,2012,12,21,21/12/2012,20.3,0.3,1020.5,9.6,12.5,24.1,33,28,14,0,0,0,751
4,2012,12,20,20/12/2012,61.4,60.1,1019.2,5.6,4.2,8.9,0,73.9,57,0.13,0,1,606
3,2012,12,19,19/12/2012,34.1,28.9,1012.6,7.2,12.9,28.9,40,39.9,15.1,0,7.9,1,590
2,2012,12,18,18/12/2012,24.2,12.2,1023.7,10,9.3,15.9,20.9,30.9,19.9,0,11,0,645
1,2012,12,17,17/12/2012,39.8,28.7,1002.7,9.7,15.5,24.1,34,46.9,35.1,0.05,0,0,649
7,2012,12,16,16/12/2012,60.4,55.5,1022.9,8.3,11.2,17.1,22,68,55.9,0,0,1,500
6,2012,12,15,15/12/2012,68.5,61.9,1011.4,8.9,8.8,15,20,73.9,63,0.06,0,0,523
5,2012,12,14,14/12/2012,68.4,61.8,1018.3,10,12.4,17.1,22.9,73.9,57.9,0,0,0,648
4,2012,12,13,13/12/2012,73.8,71.2,1011.3,5.6,5.6,9.9,18.2,77,71.6,1.58,0,1,545
3,2012,12,12,12/12/2012,70.1,62.9,1015.8,9,11,20,24.1,77,62.1,0,0,0,550
2,2012,12,11,11/12/2012,43.8,33.2,1009.4,9.9,15.6,22.9,35.9,54,42.1,0.55,0,0,578
1,2012,12,10,10/12/2012,39.3,28.6,1019.1,10,5.6,11.1,0,48,32,0,0,0,619
7,2012,12,9,09/12/2012,62.6,58.5,1018.4,9.5,6.2,8.9,15.6,71.1,53.6,0.01,0,0,544
6,2012,12,8,08/12/2012,44.7,41.7,1030.4,10,6.7,11.1,20.9,57.9,34,0,0,0,580
5,2012,12,7,07/12/2012,66.2,64.9,1004,1.4,13.7,19,24.1,69.1,64.4,0.26,0,1,714
4,2012,12,6,06/12/2012,69.4,66.1,1017.9,5.4,6.1,18.1,25.1,78.1,64.4,0.01,0,1,620
3,2012,12,5,05/12/2012,51.5,48,1020.1,10,6.5,11.1,20,57.9,43,0,0,0,514
2,2012,12,4,04/12/2012,66.5,61.9,1018.3,8.4,10.7,14,18.1,73,61,0,0,0,621
1,2012,12,3,03/12/2012,64,55.9,1003.4,8.1,14,19,27,71.1,59,0.03,0,0,621
7,2012,12,2,02/12/2012,71,69.4,1011.6,2.1,9.5,13,19.1,75.9,66.9,0,0,1,455
6,2012,12,1,01/12/2012,74.9,71.6,1006.7,5.7,8.4,13,20,82,70,0.6,0,1,480
5,2012,11,30,30/11/2012,71.6,64.1,1019.8,7.4,4.7,8.9,14.8,82.9,60.1,0,0,1,576
4,2012,11,29,29/11/2012,69.9,65.6,1020.4,9.8,5.9,9.9,17.4,81,61,0,0,0,515
3,2012,11,28,28/11/2012,66.2,60.6,1011,9.6,9.7,15.9,22.9,75,54,0.11,0,0,512
2,2012,11,27,27/11/2012,68.2,60.3,1021.4,10,5.4,11.1,19.1,77,57,0,0,0,583
1,2012,11,26,26/11/2012,54.5,52.8,1013.8,2.9,17.7,22,31.1,61,48.9,0,0,1,563
7,2012,11,25,25/11/2012,40.4,29.9,999.5,9.5,18.2,28,39,50,24.1,0.63,0,0,415
6,2012,11,24,24/11/2012,33,19.1,1015.4,10,7.9,14,31.3,50,19.9,0,0,0,458
5,2012,11,23,23/11/2012,52.2,50,1014,6.1,5.8,11.1,0,57.9,46,0,0,1,481
4,2012,11,22,22/11/2012,67.1,58.1,1025.2,10,4.9,8.9,20,75.9,55.9,0,0,0,384
3,2012,11,21,21/11/2012,64.6,58.2,1021.1,10,7.7,13,20.9,75,59,0,0,0,689
2,2012,11,20,20/11/2012,65.4,59.8,1015.4,7.1,11,17.1,24.1,66.9,60.1,0.01,0,0,671
1,2012,11,19,19/11/2012,75.4,71.9,1016.1,7.8,9.1,12,21.7,81,70,0,0,0,585
7,2012,11,18,18/11/2012,79,67.9,1011.5,9.2,4,14,22,91,70,0.26,0,0,446
6,2012,11,17,17/11/2012,77.4,60.2,1021.7,10,2.3,7,15.6,88,57,0,0,0,542
5,2012,11,16,16/11/2012,70.5,69.8,1017.4,6.4,10.6,15,19.1,81,61,0,0,0,672
4,2012,11,15,15/11/2012,73.7,69.7,1017.4,7.8,6.3,11.1,15.9,81,68,0.19,0,1,623
3,2012,11,14,14/11/2012,75.2,71.5,1009.7,6.7,5.4,16.9,22.9,80.1,71.1,0.13,0,0,625
2,2012,11,13,13/11/2012,68.7,66.7,1010.4,4.1,5.9,8.9,18.2,81,64,0,0,1,648
1,2012,11,12,12/11/2012,73.8,68.1,1012.5,9.2,7.4,14,21.7,81,68,0.3,0,0,547
7,2012,11,11,11/11/2012,74.5,70,1011.5,7.5,6,20,0,81,69.1,0,0,0,526
6,2012,11,10,10/11/2012,69,60.4,1019.4,8.7,1.8,16.9,20,73.9,55.4,0.01,0,0,444
5,2012,11,9,09/11/2012,51.1,39,1022.8,10,12.1,21,26,66.9,41,0,0,0,688
4,2012,11,8,08/11/2012,32.4,19.7,1018.5,10,10.7,18.1,24.1,36,26.1,0,0,0,550
3,2012,11,7,07/11/2012,46.5,36.4,1029.3,9.8,8.2,15,22,52,39.9,0,0,0,718
2,2012,11,6,06/11/2012,65.2,61.8,1019.8,5.9,5.1,15.9,22.9,69.1,51.8,0.25,0,1,514
1,2012,11,5,05/11/2012,51.5,44.5,1022.6,8.7,6.7,14,24.3,55.9,44.6,0,0,1,479
7,2012,11,4,04/11/2012,45.7,38.8,1008.2,6.8,18.2,25.1,31.1,52,37,0.15,0,0,344
6,2012,11,3,03/11/2012,36.9,20.9,1021.3,10,10.8,18.1,25.1,48,28.9,0,0,0,307
5,2012,11,2,02/11/2012,28.2,11.9,1014.9,10,12.4,17.1,25.1,41,21.9,1.1,2,0,345
4,2012,11,1,01/11/2012,26.3,18.1,1011.1,6.5,10.8,20,26,32,19.9,0.14,0,1,439
3,2012,10,31,31/10/2012,23.5,8.3,1034.2,10,7.9,12,20,28.9,12,0,0,0,549
2,2012,10,30,30/10/2012,5.8,-6.7,1024.1,8.5,16.3,22.9,36.9,27,-2,0,0,0,372
1,2012,10,29,29/10/2012,15.8,-2.3,1026.7,10,17.6,27,36.9,28,6.1,0,0,0,298
7,2012,10,28,28/10/2012,38.8,23.3,998.3,10,21.2,27,39,51.1,37,0.07,0,0,403
