day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions
2,2013,12,31,31/12/2013,57.7,52.3,1015.5,9.3,10.5,15.9,21,60.8,53.1,0,0,0,465
1,2013,12,30,30/12/2013,35.4,28,1019.9,8.1,10.4,21,31.1,37,28.9,0,0,0,476
7,2013,12,29,29/12/2013,52.7,45.2,1016.5,9.2,5.5,12,21.7,63,39.9,0.01,0,0,394
6,2013,12,28,28/12/2013,65.5,61.6,1016.5,8.6,5.3,8,27.8,72,55.9,0,0,1,475
5,2013,12,27,27/12/2013,67.7,65.5,1022.2,4,9.5,13,18.1,73,64.9,0.04,0,1,476
4,2013,12,26,26/12/2013,73.1,69.6,1017.3,9.1,8.7,12,14.8,84,62.1,0,0,0,428
3,2013,12,25,25/12/2013,70.6,67.2,1023.2,9.9,8.6,14,18.2,80.1,64,0,0,0,257
2,2013,12,24,24/12/2013,53.9,50.1,1016.2,7.6,15.1,22,31.1,61,46,0,0,1,515
1,2013,12,23,23/12/2013,49.7,37.9,1025.5,9.9,4.3,8.9,14.8,59,39.9,0,0,0,707
7,2013,12,22,22/12/2013,46.5,32.7,1021.7,10,4.2,16.9,22,53.6,41,0,0,0,505
6,2013,12,21,21/12/2013,51.5,46,1015.6,9.9,9.3,18.1,27,60.1,39,0,0,0,594
5,2013,12,20,20/12/2013,58.3,47.4,1010.3,10,9.4,15.9,21,62.1,46.9,0.05,0,0,674
4,2013,12,19,19/12/2013,57.9,54.7,1021,4.9,10.9,19,26,61,55.4,0.51,0,0,607
3,2013,12,18,18/12/2013,39.7,31.5,1027.4,9,17.5,22,33,55,37,0,0,0,701
2,2013,12,17,17/12/2013,63.9,61.5,1020.5,3.5,7.7,12,20.9,73,54,0,0,1,703
1,2013,12,16,16/12/2013,41.7,30.3,1008.3,10,9.4,15.9,22.9,50,34,0.01,0,0,640
7,2013,12,15,15/12/2013,29.8,13.4,1035.9,10,10.2,18.1,25.1,50,25,0,0,0,450
6,2013,12,14,14/12/2013,73.8,66.7,1011,6.7,10.4,15,19,81,63,0.47,0,1,690
5,2013,12,13,13/12/2013,59.3,55,1016.1,9.1,9.3,17.1,27,71.1,54,0.32,0,0,695
4,2013,12,12,12/12/2013,65.7,62.3,1017.4,8.5,11.9,15,20,73,53.1,0,0,0,648
3,2013,12,11,11/12/2013,61.4,57.7,1011.4,6.6,11.3,17.1,24.1,68,53.1,0.04,0,1,605
2,2013,12,10,10/12/2013,41.9,34,1027,8,25,35,46,54,35.1,1.96,0,0,539
1,2013,12,9,09/12/2013,67.4,63,1008.6,9.8,9.2,15.9,20,79,62.1,0,0,0,639
7,2013,12,8,08/12/2013,75.5,68.2,1017,10,6.8,9.9,17.4,82.9,66.9,0,0,0,456
6,2013,12,7,07/12/2013,64.4,61.6,1010.4,4.3,13,28.9,42.9,71.1,54,0.03,0,1,567
5,2013,12,6,06/12/2013,48,35,1025,7.9,2,14,20,54,41,0,0,0,759
4,2013,12,5,05/12/2013,64.2,63.7,1017.8,2.8,4.2,8,0,73,59,0,0,1,573
