day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions
2,2019,12,31,31/12/2019,27.1,10.8,1023.8,10,24,28.9,40,50,21.9,0.04,0,0,443
1,2019,12,30,30/12/2019,53.7,50.7,1014.1,4.8,16.7,22,32.1,59,50,0,0,1,518
7,2019,12,29,29/12/2019,64.4,59.6,1022.3,8,8.6,13,0,69.1,46,0,0,0,384
6,2019,12,28,28/12/2019,58.3,52.8,1021.6,9.1,11.8,15,22,64.9,54,0,0,0,355
5,2019,12,27,27/12/2019,70.1,63.3,1024.3,10,8.5,12,0,77,63,0,0,0,448
4,2019,12,26,26/12/2019,69.6,66.7,1018,5.5,3.9,11.1,18.2,80.1,60.1,0,0,1,414
3,2019,12,25,25/12/2019,65.4,60.5,1017.2,9.5,11.3,14,17.1,70,60.1,0.55,0,0,264
2,2019,12,24,24/12/2019,47.8,42.6,994.7,6.9,14.9,25.1,34,54,39,0.12,0,1,530
1,2019,12,23,23/12/2019,55.5,53.4,1015.1,3.6,26.1,33,41,57.2,53.6,2.71,0,0,593
7,2019,12,22,22/12/2019,70.8,66.9,1015,9,5.3,9.9,14.8,78.1,64.9,0.81,0,0,510
6,2019,12,21,21/12/2019,77.9,60.7,1010.6,9.5,3.3,15,17.1,88,69.1,0,0,0,520
5,2019,12,20,20/12/2019,71.7,60.3,1012.2,10,7.5,12,13.9,80.1,62.1,0,0,0,698
4,2019,12,19,19/12/2019,50.6,49.7,1015.2,3,8.4,14,19,55.9,33.1,0,0,1,699
3,2019,12,18,18/12/2019,29.7,13.1,1029.6,10,8.6,15.9,21,34,23,0,0,0,701
2,2019,12,17,17/12/2019,42.5,34.2,1024.2,10,8,15.9,21,52,35.1,0,0,0,700
1,2019,12,16,16/12/2019,62.7,56.4,1025.3,10,8.5,17.1,22.9,73,50,0,0,0,519
7,2019,12,15,15/12/2019,25.9,12.6,1028.5,10,15.1,24.1,29.9,37,19.9,0.11,0,0,503
6,2019,12,14,14/12/2019,38.1,21.9,1020.9,10,14.1,22.9,31.1,48,33.1,0.25,3.9,0,577
